mE,M_phi
913,409559.85881833464
914,409784.07467713195
915,410008.1678878489
916,410232.13865147845
917,410455.9871684652
918,410679.71363870765
919,410903.31826155965
920,411126.8012358333
921,411350.16275980044
922,411573.4030311948
923,411796.52224721434
924,412019.5206045228
925,412242.39829925203
926,412465.1555270041
927,412687.79248285294
928,412910.3093613467
929,413132.7063565095
930,413354.9836618434
931,413577.1414703307
932,413799.1799744353
933,414021.09936610534
934,414242.8998367744
935,414464.581577364
936,414686.1447782854
937,414907.5896294414
938,415128.91632022796
939,415350.1250395368
940,415571.21597575664
941,415792.1893167754
942,416013.0452499821
943,416233.78396226815
944,416454.4056400301
945,416674.9104691707
946,416895.29863510124
947,417115.5703227431
948,417335.7257165294
949,417555.7650004074
950,417775.6883578397
951,417995.4959718061
952,418215.1880248059
953,418434.7646988589
954,418654.22617550776
955,418873.5726358194
956,419092.804260387
957,419311.9212293315
958,419530.9237223037
959,419749.81191848527
960,419968.58599659125
961,420187.2461348712
962,420405.79251111124
963,420624.2253026357
964,420842.5446863082
965,421060.75083853444
966,421278.84393526276
967,421496.8241519867
968,421714.69166374585
969,421932.4466451279
970,422150.08927027055
971,422367.61971286236
972,422585.0381461452
973,422802.34474291524
974,423019.53967552504
975,423236.62311588455
976,423453.59523546335
977,423670.45620529185
978,423887.2061959628
979,424103.8453776332
980,424320.3739200255
981,424536.79199242924
982,424753.09976370283
983,424969.29740227497
984,425185.38507614605
985,425401.3629528894
986,425617.23119965364
987,425832.98998316354
988,426048.63946972153
989,426264.1798252096
990,426479.6112150903
991,426694.9338044087
992,426910.1477577933
993,427125.2532394581
994,427340.2504132038
995,427555.1394424189
996,427769.9204900818
997,427984.59371876187
998,428199.15929062094
999,428413.6173674147
1000,428627.9681104941
1001,428842.21168080694
1002,429056.348238899
1003,429270.3779449158
1004,429484.3009586037
1005,429698.11743931135
1006,429911.8275459911
1007,430125.43143720063
1008,430338.92927110376
1009,430552.3212054723
1010,430765.6073976874
1011,430978.78800474043
1012,431191.8631832348
1013,431404.8330893874
1014,431617.6978790292
1015,431830.45770760754
1016,432043.1127301867
1017,432255.66310144967
1018,432468.1089756991
1019,432680.45050685905
1020,432892.68784847594
1021,433104.8211537198
1022,433316.85057538585
1023,433528.77626589575
1024,433740.59837729856
1025,433952.31706127233
1026,434163.9324691254
1027,434375.44475179707
1028,434586.8540598599
1029,434798.1605435199
1030,435009.3643526184
1031,435220.4656366333
1032,435431.4645446798
1033,435642.3612255123
1034,435853.1558275251
1035,436063.84849875374
1036,436274.4393868766
1037,436484.92863921524
1038,436695.3164027368
1039,436905.6028240541
1040,437115.7880494273
1041,437325.8722247653
1042,437535.8554956267
1043,437745.7380072203
1044,437955.51990440796
1045,438165.201331704
1046,438374.7824332772
1047,438584.26335295226
1048,438793.6442342101
1049,439002.92522018956
1050,439212.10645368864
1051,439421.1880771652
1052,439630.1702327385
1053,439839.05306218995
1054,440047.83670696465
1055,440256.52130817197
1056,440465.10700658755
1057,440673.5939426532
1058,440881.98225647904
1059,441090.2720878441
1060,441298.46357619745
1061,441506.55686065945
1062,441714.55208002264
1063,441922.44937275315
1064,442130.24887699116
1065,442337.9507305527
1066,442545.55507093016
1067,442753.0620352938
1068,442960.47176049213
1069,443167.7843830539
1070,443375.0000391883
1071,443582.1188647866
1072,443789.14099542267
1073,443996.06656635465
1074,444202.89571252523
1075,444409.6285685634
1076,444616.2652687849
1077,444822.80594719347
1078,445029.2507374823
1079,445235.5997730339
1080,445441.8531869223
1081,445648.0111119136
1082,445854.0736804666
1083,446060.0410247344
1084,446265.9132765651
1085,446471.6905675026
1086,446677.3730287879
1087,446882.96079136
1088,447088.4539858568
1089,447293.8527426161
1090,447499.1571916765
1091,447704.36746277846
1092,447909.4836853652
1093,448114.50598858367
1094,448319.4345012856
1095,448524.26935202815
1096,448729.01066907524
1097,448933.65858039807
1098,449138.21321367664
1099,449342.6746962999
1100,449547.0431553672
1101,449751.3187176892
1102,449955.50150978874
1103,450159.59165790153
1104,450363.58928797726
1105,450567.4945256807
1106,450771.307496392
1107,450975.0283252083
1108,451178.65713694406
1109,451382.1940561324
1110,451585.63920702576
1111,451788.99271359644
1112,451992.2546995382
1113,452195.4252882669
1114,452398.50460292085
1115,452601.4927663623
1116,452804.3899011782
1117,453007.1961296808
1118,453209.91157390847
1119,453412.53635562724
1120,453615.07059633074
1121,453817.5144172416
1122,454019.8679393124
1123,454222.131283226
1124,454424.3045693967
1125,454626.38791797106
1126,454828.3814488289
1127,455030.2852815835
1128,455232.0995355835
1129,455433.8243299125
1130,455635.45978339063
1131,455837.00601457566
1132,456038.4631417626
1133,456239.83128298586
1134,456441.1105560193
1135,456642.30107837694
1136,456843.4029673145
1137,457044.4163398293
1138,457245.3413126617
1139,457446.1780022955
1140,457646.9265249591
1141,457847.5869966259
1142,458048.15953301534
1143,458248.6442495934
1144,458449.0412615739
1145,458649.3506839188
1146,458849.5726313391
1147,459049.70721829555
1148,459249.75455899944
1149,459449.7147674136
1150,459649.58795725286
1151,459849.3742419849
1152,460049.073734831
1153,460248.6865487668
1154,460448.21279652294
1155,460647.6525905861
1156,460847.0060431994
1157,461046.2732663632
1158,461245.4543718362
1159,461444.5494711356
1160,461643.5586755382
1161,461842.48209608113
1162,462041.3198435624
1163,462240.0720285416
1164,462438.7387613407
1165,462637.3201520451
1166,462835.81631050375
1167,463034.22734633024
1168,463232.5533689032
1169,463430.7944873674
1170,463628.95081063424
1171,463827.02244738245
1172,464025.00950605865
1173,464222.9120948783
1174,464420.7303218264
1175,464618.46429465775
1176,464816.1141208981
1177,465013.6799078448
1178,465211.16176256724
1179,465408.5597919075
1180,465605.87410248123
1181,465803.10480067856
1182,466000.2519926639
1183,466197.3157843777
1184,466394.2962815361
1185,466591.19358963263
1186,466788.0078139379
1187,466984.7390595006
1188,467181.38743114856
1189,467377.9530334888
1190,467574.4359709087
1191,467770.8363475761
1192,467967.15426744043
1193,468163.389834233
1194,468359.5431514679
1195,468555.6143224427
1196,468751.60345023853
1197,468947.5106377213
1198,469143.33598754223
1199,469339.0796021384
1200,469534.7415837329
1201,469730.3220343364
1202,469925.8210557471
1203,470121.23874955165
1204,470316.57521712536
1205,470511.8305596331
1206,470707.0048780304
1207,470902.0982730629
1208,471097.11084526806
1209,471292.04269497516
1210,471486.89392230613
1211,471681.6646271759
1212,471876.35490929347
1213,472070.9648681621
1214,472265.49460307974
1215,472459.94421314046
1216,472654.31379723403
1217,472848.60345404706
1218,473042.81328206346
1219,473236.9433795652
1220,473430.99384463276
1221,473624.9647751453
1222,473818.8562687819
1223,474012.66842302197
1224,474206.4013351454
1225,474400.0551022338
1226,474593.6298211702
1227,474787.1255886405
1228,474980.5425011337
1229,475173.880654942
1230,475367.1401461623
1231,475560.3210706957
1232,475753.42352424894
1233,475946.4476023344
1234,476139.3934002711
1235,476332.2610131846
1236,476525.05053600844
1237,476717.76206348353
1238,476910.39569016
1239,477102.9515103968
1240,477295.4296183624
1241,477487.8301080357
1242,477680.15307320625
1243,477872.3986074748
1244,478064.5668042538
1245,478256.6577567682
1246,478448.67155805585
1247,478640.60830096767
1248,478832.4680781687
1249,479024.2509821383
1250,479215.95710517076
1251,479407.58653937606
1252,479599.1393766797
1253,479790.61570882413
1254,479982.0156273683
1255,480173.3392236892
1256,480364.5865889815
1257,480555.75781425857
1258,480746.8529903524
1259,480937.87220791506
1260,481128.8155574184
1261,481319.6831291547
1262,481510.47501323745
1263,481701.19129960163
1264,481891.83207800414
1265,482082.3974380244
1266,482272.8874690651
1267,482463.3022603521
1268,482653.64190093527
1269,482843.90647968906
1270,483034.096085313
1271,483224.2108063317
1272,483414.2507310961
1273,483604.2159477831
1274,483794.10654439667
1275,483983.92260876833
1276,484173.66422855714
1277,484363.33149125054
1278,484552.92448416475
1279,484742.443294445
1280,484931.88800906687
1281,485121.25871483516
1282,485310.55549838615
1283,485499.77844618657
1284,485688.92764453514
1285,485878.00317956245
1286,486067.0051372314
1287,486255.9336033381
1288,486444.78866351186
1289,486633.57040321577
1290,486822.2789077473
1291,487010.91426223866
1292,487199.47655165725
1293,487387.96586080594
1294,487576.38227432384
1295,487764.72587668645
1296,487952.9967522064
1297,488141.19498503354
1298,488329.3206591556
1299,488517.3738583987
1300,488705.35466642736
1301,488893.26316674566
1302,489081.09944269696
1303,489268.8635774646
1304,489456.55565407267
1305,489644.1757553856
1306,489831.7239641098
1307,490019.20036279265
1308,490206.60503382434
1309,490393.93805943715
1310,490581.1995217064
1311,490768.3895025511
1312,490955.50808373385
1313,491142.5553468615
1314,491329.5313733856
1315,491516.4362446027
1316,491703.2700416548
