mE,mPhi,delta
2,359.4720341902483,2.8792701243854534e-09
2,416.39854992957777,2.1462152629930464e-09
2,365.21080812863676,2.7895548753102896e-09
2,371.0382408747996,2.7026765140691194e-09
2,365.9248007886416,2.778686931836974e-09
2,420.21654110735926,2.1074131289059444e-09
2,355.1997288216092,2.948899787369761e-09
2,418.4913321691947,2.1248149663370902e-09
3,417.7512716048269,2.130990112775807e-09
3,370.877559969337,2.7029049239715628e-09
3,367.54384434823595,2.7520923469020524e-09
3,414.58670891010536,2.1636100650881327e-09
3,386.76218960584754,2.4857124575240605e-09
3,391.5904501870734,2.4248674394319208e-09
3,413.9791925131636,2.169957897407775e-09
3,412.0083193428256,2.19074460575169e-09
3,387.43484487936644,2.4770993826531026e-09
3,356.5888288746491,2.92354103780471e-09
3,417.89922216996285,2.129483138312696e-09
3,355.7874709045491,2.936706603530068e-09
3,408.93011621341566,2.223812699610099e-09
3,405.6722245889137,2.259633132980641e-09
3,421.45522168557153,2.0937384034335553e-09
3,398.688773487213,2.3393914771880972e-09
3,394.35112249832554,2.391076201079695e-09
3,408.41271021424393,2.22944443858877e-09
3,408.88010444457007,2.224356124015916e-09
3,376.83335399032984,2.618252183761272e-09
3,378.75230885907933,2.591822686028481e-09
3,414.65565122978325,2.1628914587143054e-09
3,355.0410630155828,2.9490495214799827e-09
3,372.66674764648985,2.677048051194842e-09
3,391.5676448639693,2.425149557108287e-09
3,393.90659508973545,2.3964694344894205e-09
3,363.7539770151808,2.8096580588323064e-09
3,407.8208498654171,2.235912845735853e-09
3,375.32213464395136,2.6393514938637977e-09
3,384.32843341397626,2.517253849983005e-09
3,406.44425376988295,2.251066873915136e-09
3,413.23346822779166,2.177788094455769e-09
3,392.54112962110673,2.413150521976864e-09
3,376.522122867139,2.6225767924358635e-09
3,370.3611522119669,2.7104375751858617e-09
3,364.372396074207,2.800142089422876e-09
3,360.16565566403443,2.865842802097068e-09
3,364.4511178799511,2.798934220268555e-09
3,365.45491199262375,2.783600742053752e-09
3,364.7422580736467,2.7944738876408845e-09
3,394.21220728063264,2.3927596345750422e-09
3,419.21391125938175,2.1161620697034613e-09
3,428.75346469370606,2.0231393652647314e-09
3,365.5994821558588,2.7814027386374157e-09
3,368.61101476981247,2.736201682317782e-09
3,355.3551953978569,2.94384543271123e-09
3,404.3173902930203,2.2747846830088588e-09
3,378.35746945407305,2.597227964285596e-09
3,382.44239422115663,2.5421114524989222e-09
3,399.4786613058522,2.330160165869699e-09
3,396.3311997925763,2.3672726068617294e-09
3,354.18035064685137,2.9633794415693276e-09
3,382.47951849913824,2.541618617194798e-09
3,397.8083480041526,2.349745668358934e-09
3,419.2364706298348,2.1159345788112834e-09
3,387.1246811527282,2.4810653324552554e-09
3,373.2017163868348,2.669388832857417e-09
3,396.91034110432196,2.360377580208957e-09
3,401.73350450218163,2.3041066117902635e-09
3,416.92838767396887,2.1394009870684185e-09
3,393.8333539232213,2.397359783869406e-09
3,413.6736934858085,2.1731605617273e-09
3,388.6654750431696,2.461457083451842e-09
3,390.4026346252263,2.439627282148644e-09
3,377.0765582112562,2.614880258965875e-09
3,366.26635881467774,2.771297350786959e-09
3,368.9583244223909,2.7310597461653112e-09
3,426.3038344966254,2.046432338074669e-09
3,385.90853947373074,2.496707911118995e-09
3,355.6008188814952,2.939785887022274e-09
3,420.56088391805736,2.102643074887449e-09
3,410.1967139537803,2.2101160361570603e-09
3,409.64438972399984,2.2160731303970457e-09
3,363.75388619210463,2.809659459938562e-09
3,367.8670637947194,2.747264880628335e-09
3,426.2822543832483,2.0466393221903893e-09
3,397.306125699539,2.355682834291277e-09
3,411.1388822349485,2.2000095533762216e-09
3,418.98976319133817,2.118424394746897e-09
3,422.2676715779362,2.085697997908155e-09
3,412.6557423048686,2.1838834528428857e-09
3,375.7052549707804,2.6339783920538445e-09
3,370.06887080738954,2.7147149357410225e-09
3,423.9648062264364,2.0690510003150416e-09
3,380.9769399774965,2.5616808320192256e-09
3,417.8481302186543,2.1300033629649035e-09
3,397.9875427261377,2.3476326968334138e-09
3,426.21862910695666,2.0472497622485967e-09
3,403.9061576831758,2.2794137772191085e-09
3,380.8384636005758,2.56354168991934e-09
3,412.34937221379397,2.1871262290622345e-09
3,397.9255145823067,2.3483637780860457e-09
3,397.3253911980331,2.3554546669145635e-09
3,375.9385448253555,2.630714630618244e-09
3,388.3096785270122,2.4659642870061748e-09
3,386.00551215253194,2.4954551849355274e-09
3,412.80592617916864,2.1822964634919555e-09
3,406.70072896258046,2.2482318579834733e-09
3,364.4959868997658,2.7982461213479756e-09
3,397.0590045989935,2.3586125090538913e-09
3,379.4560215349712,2.5822307255858076e-09
